,mushroom_id,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
56,57,edible,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
57,58,edible,bell,smooth,white,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
58,59,edible,convex,smooth,yellow,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
59,60,edible,convex,scaly,brown,yes,almond,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
60,61,edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
61,62,edible,bell,scaly,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
62,63,edible,bell,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
63,64,edible,bell,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
64,65,edible,bell,scaly,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
65,66,edible,flat,smooth,brown,no,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
66,67,edible,convex,smooth,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
67,68,edible,flat,scaly,yellow,yes,almond,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
68,69,edible,convex,scaly,yellow,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
69,70,edible,convex,fibrous,gray,no,none,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
70,71,edible,flat,fibrous,yellow,yes,anise,free,crowded,narrow,pink,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
71,72,edible,bell,scaly,white,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
72,73,edible,flat,fibrous,yellow,yes,anise,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
73,74,edible,convex,scaly,brown,yes,almond,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
74,75,edible,bell,smooth,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
75,76,edible,flat,smooth,yellow,yes,anise,free,crowded,narrow,pink,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
76,77,edible,convex,smooth,white,yes,anise,free,crowded,narrow,brown,tapering,smooth,smooth,white,white,white,one,pendant,purple,several,woods
77,78,edible,flat,scaly,brown,yes,anise,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
78,79,poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
79,80,edible,flat,scaly,brown,yes,almond,free,close,broad,brown,enlarging,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
80,81,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
81,82,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
82,83,edible,flat,fibrous,gray,no,none,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
83,84,edible,convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
84,85,edible,convex,scaly,yellow,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
85,86,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,white,one,evanescent,black,scattered,grasses
86,87,edible,bell,smooth,white,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
87,88,edible,convex,smooth,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
88,89,edible,flat,scaly,brown,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
89,90,edible,sunken,fibrous,brown,no,none,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
90,91,edible,convex,fibrous,brown,no,none,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
91,92,edible,bell,smooth,white,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
92,93,edible,convex,scaly,yellow,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
93,94,edible,convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
94,95,edible,convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
95,96,edible,convex,smooth,white,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
96,97,edible,flat,scaly,brown,yes,anise,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
97,98,edible,convex,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
98,99,edible,bell,smooth,white,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
99,100,edible,convex,scaly,white,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
100,101,edible,convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
101,102,edible,bell,smooth,yellow,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
102,103,edible,flat,scaly,yellow,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
103,104,edible,convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
104,105,edible,bell,scaly,white,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
105,106,edible,convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
106,107,edible,convex,scaly,yellow,yes,almond,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
107,108,edible,bell,scaly,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
108,109,edible,bell,scaly,white,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
109,110,edible,convex,smooth,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
110,111,edible,convex,smooth,yellow,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
111,112,edible,sunken,fibrous,gray,no,none,free,close,narrow,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
112,113,edible,convex,fibrous,white,yes,almond,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,purple,several,woods
113,114,edible,convex,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
114,115,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
115,116,edible,convex,scaly,yellow,yes,anise,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
116,117,edible,sunken,fibrous,gray,no,none,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
117,118,edible,convex,scaly,yellow,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
118,119,edible,convex,smooth,yellow,yes,anise,free,crowded,narrow,pink,tapering,smooth,smooth,white,white,white,one,pendant,purple,several,woods
119,120,edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
120,121,poisonous,convex,smooth,white,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,grasses
121,122,edible,convex,scaly,white,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
122,123,poisonous,flat,scaly,brown,yes,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,grasses
123,124,edible,flat,smooth,gray,no,none,free,crowded,broad,black,tapering,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
124,125,edible,convex,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
125,126,edible,convex,smooth,white,no,none,free,crowded,broad,brown,tapering,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
126,127,edible,bell,smooth,yellow,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
127,128,edible,flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
128,129,edible,convex,smooth,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
129,130,edible,bell,smooth,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
130,131,edible,bell,smooth,white,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
131,132,edible,bell,scaly,white,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
132,133,edible,flat,smooth,white,yes,anise,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,purple,several,woods
133,134,edible,convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
134,135,edible,flat,smooth,white,yes,almond,free,crowded,narrow,pink,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
135,136,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
136,137,edible,flat,fibrous,white,yes,anise,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
137,138,edible,convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
138,139,poisonous,convex,smooth,brown,yes,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
139,140,edible,bell,smooth,yellow,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
140,141,edible,convex,scaly,brown,yes,almond,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
141,142,edible,bell,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
142,143,edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
143,144,edible,flat,scaly,brown,yes,almond,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
144,145,edible,convex,scaly,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
145,146,edible,convex,fibrous,gray,no,none,free,crowded,broad,black,tapering,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
146,147,edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
147,148,edible,convex,scaly,yellow,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
148,149,edible,bell,smooth,yellow,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
149,150,edible,bell,scaly,white,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
150,151,edible,convex,scaly,white,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
151,152,edible,convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
152,153,edible,convex,scaly,white,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
153,154,edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,urban
154,155,edible,convex,smooth,white,yes,almond,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,purple,several,woods
155,156,edible,convex,scaly,brown,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
156,157,edible,bell,scaly,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
157,158,edible,convex,scaly,white,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
158,159,edible,bell,scaly,white,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
159,160,edible,bell,smooth,yellow,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
160,161,edible,bell,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
161,162,edible,bell,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
162,163,edible,convex,fibrous,brown,no,none,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
163,164,edible,flat,scaly,brown,yes,anise,free,close,broad,brown,enlarging,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
164,165,edible,convex,scaly,white,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
165,166,edible,flat,scaly,yellow,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
166,167,edible,bell,smooth,white,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
167,168,edible,bell,smooth,white,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
168,169,edible,convex,scaly,brown,yes,anise,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,black,solitary,grasses
169,170,edible,bell,smooth,white,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
170,171,edible,convex,fibrous,gray,no,none,free,close,narrow,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
171,172,edible,bell,smooth,yellow,yes,anise,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
172,173,edible,convex,fibrous,yellow,yes,anise,free,crowded,narrow,brown,tapering,smooth,smooth,white,white,white,one,pendant,purple,several,woods
173,174,edible,bell,scaly,yellow,yes,almond,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
174,175,edible,flat,scaly,yellow,yes,anise,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,brown,scattered,grasses
175,176,edible,bell,scaly,white,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
176,177,edible,bell,scaly,white,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
177,178,edible,bell,scaly,yellow,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
178,179,edible,convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
179,180,edible,bell,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
180,181,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,brown,several,urban
181,182,edible,sunken,fibrous,brown,no,none,free,close,narrow,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
182,183,edible,flat,fibrous,brown,no,none,free,close,narrow,gray,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,urban
183,184,edible,convex,smooth,yellow,yes,almond,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
184,185,edible,flat,scaly,brown,yes,almond,free,close,broad,pink,enlarging,smooth,scaly,white,white,white,one,pendant,black,scattered,paths
185,186,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,black,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
186,187,edible,bell,smooth,white,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
187,188,edible,flat,fibrous,gray,no,none,free,close,narrow,pink,enlarging,smooth,smooth,white,white,white,one,pendant,black,several,urban
188,189,edible,bell,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
189,190,edible,convex,scaly,brown,yes,almond,free,close,broad,white,enlarging,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
190,191,edible,convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,smooth,fibrous,white,white,white,one,evanescent,black,scattered,grasses
191,192,edible,convex,smooth,white,yes,anise,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
192,193,edible,bell,smooth,white,yes,anise,free,close,broad,white,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
193,194,edible,flat,smooth,yellow,yes,almond,free,crowded,narrow,white,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
194,195,edible,convex,smooth,yellow,yes,almond,free,close,broad,black,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
195,196,edible,flat,fibrous,gray,no,none,free,close,narrow,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
196,197,edible,bell,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
197,198,edible,convex,smooth,white,yes,anise,free,close,broad,gray,enlarging,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
198,199,edible,convex,scaly,white,yes,anise,free,close,broad,brown,enlarging,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
199,200,edible,flat,smooth,white,yes,almond,free,crowded,narrow,brown,tapering,smooth,smooth,white,white,white,one,pendant,brown,several,woods
